Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,target
18277,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,460.0,2,1960.0,0.0,   2,83123,0
9210,2016,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,750.0,2,1950.0,0.0,   5,13205,0
16368,2013,"0,580821918",1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,eff,1,400.0,2,1970.0,0.0,   3,95176,0
17910,2015,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,850.0,3,1960.0,0.0,   4,93055,1
14025,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,15.0,2,,0.0,   .,13001,0
17944,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,400.0,2,1949.0,0.3,   3,26064,0
6127,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1129.0,1,1960.0,0.0,   .,73029,0
14116,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4565.0,4,1980.0,0.0,   .,06121,0
12668,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,400.0,4,1960.0,0.0,   5,06083,0
12161,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,340.0,4,1980.0,0.0,   .,06088,0
13018,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1970.0,3,1960.0,0.0,   .,92024,0
15928,2013,"0,378082192",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,6486.0,2,1980.0,0.0,   4,83070,1
17151,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1920.0,V,   .,,0
8501,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4393.0,4,,0.0,   .,06029,1
18659,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1510.0,1,2011.0,0.0,   4,10387,0
18030,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,960.0,2,1960.0,0.0,   4,42218,1
11721,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1993.0,V,   .,,0
10352,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,900.0,2,1950.0,0.6,   3,83154,0
7036,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1876.0,3,1980.0,0.0,   .,83137,0
4607,2013,"0,41369863",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420.0,2,1960.0,0.0,   .,62108,0
502,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,591.0,2,1960.0,0.0,   .,21231,0
19725,2015,"0,334246575",0,V,N,3,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,2720.0,4,1974.0,0.6,   8,75118,0
13325,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,2,1980.0,0.0,   .,83070,0
15867,2013,"0,161643836",0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3350.0,2,1986.0,0.3,   5,62826,0
15994,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,4,1987.0,V,   .,,0
15969,2016,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,3570.0,3,1980.0,0.0,>=10,94071,1
5842,2014,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2210.0,2,1970.0,0.0,   3,63113,0
11886,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,680.0,4,1960.0,0.0,   .,75117,0
18816,2013,"0,665753425",1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,5950.0,2,1992.0,0.0,   3,30351,1
14074,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,885.0,2,1960.0,0.0,   .,51454,0
13577,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,670.0,2,1960.0,0.0,   .,51454,0
7584,2014,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4000.0,3,,0.0,   .,93015,0
6168,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2000.0,2,1980.0,0.0,   .,63113,0
14349,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1260.0,2,1960.0,0.0,   3,34192,0
17360,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1000.0,2,1990.0,0.3,   3,66182,0
19922,2016,"0,579234973",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,500.0,2,1950.0,0.6,   1,09301,0
16428,2014,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,5346.0,1,2005.0,0.0,   5,59183,0
7607,2014,1,0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,400.0,2,1925.0,0.6,   4,26362,0
4536,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,850.0,2,1960.0,0.0,   .,14118,0
10707,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,820.0,2,1988.0,0.0,   .,68062,0
9744,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,520.0,2,1960.0,0.0,   .,13206,0
7699,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1447.0,2,1980.0,0.0,   .,63113,0
15896,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1170.0,4,1919.0,0.3,   6,75115,0
2490,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1427.0,2,1940.0,0.0,   6,13202,1
2671,2014,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3000.0,2,1991.0,0.6,   3,30133,1
1322,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4480.0,2,1980.0,0.0,   .,68297,0
11545,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,920.0,2,1960.0,0.0,   .,13205,0
10686,2012,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,450.0,2,1900.0,0.0,   4,63113,0
8476,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,390.0,4,1960.0,0.0,   .,06159,0
15816,2013,1,0,V,N,2,O,2,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,19195.0,2,1970.0,0.0,   6,60057,1
1903,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1250.0,2,1980.0,0.0,   .,34324,1
6296,2012,"0,163934426",0,V,N,3,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,1300.0,2,1900.0,0.3,   3,09029,0
2799,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7100.0,2,1980.0,0.0,   .,68278,1
14504,2012,"0,581967213",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1700.0,2,1980.0,0.0,   .,34301,0
15941,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4172.0,1,1989.0,0.0,   3,74012,0
14284,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,2,1960.0,0.0,   .,30011,0
13446,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,4,1960.0,0.0,   .,06088,0
12758,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1731.0,2,1980.0,0.0,   .,83047,0
16735,2012,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4045.0,2,2010.0,0.0,   5,59527,1
6458,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,230.0,1,1980.0,0.0,   .,73054,0
10098,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,1,1960.0,0.0,   .,13032,0
11296,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1502.0,2,1988.0,0.0,   .,34154,0
10770,2014,"0,832876712",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,340.0,3,1960.0,0.0,   .,94052,0
17520,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3270.0,4,1980.0,0.0,   7,06014,0
2056,2013,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,600.0,4,1920.0,0.0,   5,06159,1
2586,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2400.0,1,1980.0,0.0,   .,05061,0
4296,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1780.0,2,1990.0,0.6,   4,64430,0
13271,2013,"0,915068493",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400.0,2,1988.0,0.0,   .,83129,0
70,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,2,1960.0,0.0,   .,13206,1
6897,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,2,1980.0,0.0,   .,13206,0
10973,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200.0,3,,0.0,   .,92063,0
4187,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,643.0,3,1960.0,0.0,   .,92025,1
11901,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,2,1980.0,0.0,   .,38071,1
15222,2016,"0,99726776",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,794.0,2,1900.0,0.0,   2,95219,0
11119,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850.0,1,1950.0,0.0,   5,13004,0
2593,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,1,1980.0,0.0,   .,05177,0
10177,2012,"0,24863388",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6880.0,2,1988.0,0.0,   .,83099,0
11743,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,9709.0,3,1960.0,0.0,   .,59368,0
16045,2012,"0,24863388",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,5500.0,2,1980.0,0.0,   6,83009,0
10116,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,882.0,2,1950.0,0.0,   5,83137,0
3805,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1414.0,2,1980.0,0.0,   .,14437,1
19077,2012,"0,836065574",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1441.0,1,1961.0,0.0,   4,10387,0
15833,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600.0,4,1970.0,0.3,   3,06157,1
16085,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2250.0,1,1980.0,0.0,   3,63075,1
13470,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,800.0,1,1960.0,0.6,   4,35238,0
4878,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4228.0,2,1970.0,0.0,   4,29105,0
13093,2014,"0,665753425",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250.0,1,1988.0,0.0,   .,74010,0
792,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,400.0,2,,0.0,   .,25462,0
7480,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,5500.0,4,2003.0,0.3,   4,06155,1
13622,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250.0,3,1980.0,0.0,   .,94068,0
19090,2015,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3600.0,2,2008.0,0.0,   3,59367,0
7301,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,1,650.0,2,1958.0,0.0,   4,68224,0
10781,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,385.0,2,1960.0,0.0,   .,38517,0
760,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1701.0,1,1960.0,0.0,   .,27299,0
11415,2013,"0,452054795",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,320.0,2,1980.0,0.0,   .,11262,0
13130,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,3,1960.0,0.0,   .,94081,0
19561,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,650.0,1,1990.0,0.6,   2,33009,1
9960,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4464.0,2,1980.0,0.0,   .,26220,1
7601,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1064.0,2,1998.0,0.6,   4,66136,0
15282,2012,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,964.0,4,1900.0,0.0,   4,75113,0
17796,2015,"0,983561644",1,V,N,1,O,1,N,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,300.0,1,2005.0,0.3,   3,74290,0
7677,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,2,1980.0,0.0,   .,83144,0
10147,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,2,1960.0,0.0,   .,69034,0
106,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,4,1960.0,0.0,   .,75104,0
7873,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,820.0,2,1960.0,0.0,   .,64122,0
5558,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7100.0,2,1980.0,0.0,   .,68278,1
18463,2014,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,12582.0,3,1970.0,0.0,   8,92023,1
18695,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,2000.0,4,1870.0,0.0,   6,75112,0
16147,2015,1,1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,pi,2,1260.0,4,1890.0,0.0,   6,75107,0
9798,2013,"0,271232877",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,1200.0,2,1940.0,0.0,   7,13201,1
6261,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,280.0,2,1955.0,0.6,   5,95582,0
267,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1445.0,2,1970.0,0.0,   4,64422,0
15429,2015,"0,997260274",0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1556.0,1,1994.0,0.0,   4,86041,0
6964,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,942.0,2,1980.0,0.0,   .,13202,0
15368,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,800.0,2,1965.0,0.3,   3,57663,0
5078,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1950.0,V,   .,,0
6908,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2791.0,2,1960.0,0.0,   .,13001,0
12975,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,2,1960.0,0.0,   .,59295,0
3901,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,11380.0,4,1980.0,0.0,   7,06104,0
780,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850.0,1,1960.0,0.0,   4,27229,0
5435,2014,"0,545205479",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,216.0,1,1988.0,0.0,   .,73137,0
11689,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,4,1960.0,0.0,   .,06083,0
4622,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,1,1988.0,0.0,   .,86041,0
11097,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850.0,2,1980.0,0.0,   3,83115,1
9008,2014,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2973.0,4,1850.0,0.0,   6,75106,1
11144,2012,"0,163934426",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,1,915.0,2,1960.0,0.0,   .,13207,0
11987,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,800.0,1,1900.0,0.0,   4,35288,0
9799,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,318.0,4,1900.0,0.0,   4,06004,1
2619,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,663.0,2,1960.0,0.0,   .,64256,1
940,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1572.0,1,1960.0,0.0,   .,87085,0
7516,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,180.0,2,1960.0,0.0,   .,38416,0
8923,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1203.0,4,2002.0,0.0,   3,06104,0
9406,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,864.0,2,,0.0,   .,42218,0
4631,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,833.0,2,1960.0,0.0,   .,14220,0
1063,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2625.0,1,1980.0,0.0,   .,74010,0
18903,2016,"0,99726776",1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1050.0,2,2012.0,0.0,   4,38126,0
5865,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2140.0,1,1980.0,0.0,   .,87085,0
15562,2012,1,1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,460.0,3,1950.0,0.0,   3,94069,0
4142,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1302.0,1,1988.0,0.0,   .,74081,0
8379,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,3,1960.0,0.0,   .,2A004,0
18315,2016,"0,99726776",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,6700.0,1,2011.0,0.0,   7,74010,0
3644,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,325.0,3,1988.0,0.0,   .,93064,0
8750,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,824.0,4,1960.0,0.0,   .,06088,0
7038,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1876.0,3,1980.0,0.0,   .,83137,0
17752,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1050.0,4,1960.0,0.0,   4,06083,0
17052,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,650.0,2,1950.0,0.0,   5,51108,0
13257,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,322.0,2,1980.0,0.0,   .,83118,0
15873,2013,1,1,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,14120.0,3,1980.0,0.0,   8,33063,0
7136,2012,"0,74863388",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1032.0,2,1960.0,0.0,   .,69259,0
18926,2016,"0,99726776",0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,2039.0,1,1970.0,0.0,   4,13001,0
5348,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500.0,4,1980.0,0.0,   .,06012,1
18008,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,300.0,3,1950.0,0.3,   3,93048,0
1431,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3757.0,2,1980.0,0.0,   .,34902,1
13525,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000.0,1,1988.0,0.0,   .,05085,0
19002,2014,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,6000.0,3,1970.0,0.0,   4,94052,1
5159,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,900.0,2,1999.0,0.6,   3,13213,0
16524,2012,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,8377.0,3,1970.0,0.0,   8,92049,0
4214,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,450.0,2,1930.0,0.0,   4,13206,0
6953,2012,"0,330601093",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,394.0,4,,0.0,   .,75113,0
19010,2016,"0,99726776",1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2450.0,2,1958.0,0.0,   4,95585,0
14543,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,705.0,3,1960.0,0.0,   .,92026,0
12617,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,420.0,2,1935.0,0.0,   3,51454,0
5588,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,270.0,1,1900.0,0.0,   3,28085,0
16835,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,660.0,3,2000.0,0.0,   3,59599,0
8518,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1200.0,4,1960.0,0.0,   .,06029,0
9020,2014,"0,493150685",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300.0,4,,0.0,   .,75114,0
16408,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3213.0,1,2010.0,0.0,   2,13117,0
18355,2012,"0,75136612",1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,2205.0,3,1895.0,0.0,   7,94067,1
7553,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,320.0,2,1960.0,0.0,   .,13206,0
13800,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1912.0,1,2008.0,0.0,   6,73176,0
18518,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1171.0,1,2011.0,0.3,   3,44069,0
6878,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,530.0,2,1980.0,0.0,   .,38185,0
13907,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1176.0,3,1960.0,0.0,   .,94067,1
2371,2013,"0,580821918",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,1,1960.0,0.0,   .,54547,0
16411,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,1057.0,2,2002.0,0.0,   3,68362,0
